human_ensembl,Arabidopsis thaliana,Caenorhabditis elegans,Drosophila melanogaster,Mus musculus,Saccharomyces cerevisiae,n_species
ENSG00000131844,,WBGene00303021,FBgn0042083,ENSMUSG00000021646,,3
ENSG00000131844.17;ENSG00000275300.4;ENSG00000281742,AT4G34030,,,,,1
ENSG00000131845,,,FBgn0038787,,,1
ENSG00000131848,,,,ENSMUSG00000058028,,1
ENSG00000131849,,,FBgn0038787,,,1
ENSG00000131871,,,,ENSMUSG00000075701,,1
ENSG00000131873,,WBGene00005023,FBgn0030662,ENSMUSG00000032640,,3
ENSG00000131876,,WBGene00003390,FBgn0033210,ENSMUSG00000030512,YPL213W,4
ENSG00000131899,,WBGene00018987,FBgn0002121,ENSMUSG00000020536,YPR032W,4
ENSG00000131910,,,,ENSMUSG00000037583,,1
ENSG00000131914,,WBGene00003014,FBgn0035626,ENSMUSG00000050966,,3
ENSG00000131931,,,FBgn0038273,ENSMUSG00000037214,,2
ENSG00000131941,,,FBgn0026374,ENSMUSG00000030494,,2
ENSG00000131943,,,FBgn0023530,ENSMUSG00000054676,,2
ENSG00000131944,,,,ENSMUSG00000030493,,1
ENSG00000131951,,WBGene00020266,,ENSMUSG00000021090,,2
ENSG00000131966,,WBGene00016793,FBgn0031050,ENSMUSG00000021076,,3
ENSG00000131969,,WBGene00022393,FBgn0034419,ENSMUSG00000090121,,3
ENSG00000131979,,WBGene00000298,FBgn0003162,ENSMUSG00000037580,YGR267C,4
ENSG00000131981,,WBGene00002264,FBgn0031214,ENSMUSG00000050335,,3
ENSG00000132000,,,,ENSMUSG00000012889,,1
ENSG00000132002,,WBGene00001031,FBgn0263106,ENSMUSG00000005483,YNL007C,4
ENSG00000132003,,,,ENSMUSG00000035671,,1
ENSG00000132004,,WBGene00003177,,ENSMUSG00000008167,YKR036C,3
ENSG00000132005,,WBGene00000914,FBgn0020379,ENSMUSG00000031706,,3
ENSG00000132010,,,FBgn0024975,ENSMUSG00000056019,,2
ENSG00000132016,,,,ENSMUSG00000008129,,1
ENSG00000132017,,,FBgn0037814,ENSMUSG00000037103,,2
ENSG00000132024,,WBGene00012578,FBgn0261983,ENSMUSG00000036686,,3
ENSG00000132026,,,,ENSMUSG00000048617,,1
ENSG00000132031,,WBGene00015865,,ENSMUSG00000020583,,2
ENSG00000132109,,WBGene00018384,,ENSMUSG00000030966,,2
ENSG00000132122,,,FBgn0036849,ENSMUSG00000034401,,2
ENSG00000132128,,,,ENSMUSG00000028703,,1
ENSG00000132141,AT3G02530,WBGene00000381,FBgn0027329,ENSMUSG00000020698,YDR188W,5
ENSG00000132153,,,,ENSMUSG00000032480,,1
ENSG00000132155,,WBGene00003030,FBgn0003079,ENSMUSG00000000441,,3
ENSG00000132164,,,,ENSMUSG00000030307,,1
ENSG00000132170,,WBGene00004786,FBgn0000568,ENSMUSG00000000440,,3
ENSG00000132182,,WBGene00003798,FBgn0266580,ENSMUSG00000030091,,3
ENSG00000132185,,,,ENSMUSG00000038421,,1
ENSG00000132196,,,,ENSMUSG00000026675,YLR100W,2
ENSG00000132205,,,,ENSMUSG00000024053,,1
ENSG00000132207,,WBGene00018909,FBgn0037263,ENSMUSG00000059772,YBR228W,4
ENSG00000132254,,WBGene00010040,FBgn0037884,ENSMUSG00000030881,,3
ENSG00000132256,,,,ENSMUSG00000057143,,1
ENSG00000132259,AT4G32650,WBGene00006526,FBgn0261612,ENSMUSG00000030897,,4
ENSG00000132274,,WBGene00021640,,ENSMUSG00000030921,,2
ENSG00000132275,AT1G55450,WBGene00020296,FBgn0034422,ENSMUSG00000030888,YDR083W,5
ENSG00000132286,,WBGene00044083,FBgn0027358,ENSMUSG00000089847,,3
ENSG00000132294,,WBGene00016311,FBgn0086784,ENSMUSG00000015002,,3
ENSG00000132297,,,,ENSMUSG00000072511,,1
ENSG00000132300,,WBGene00002804,FBgn0033816,ENSMUSG00000063884,,3
ENSG00000132305,,WBGene00012315,FBgn0019960,ENSMUSG00000052337,YKR016W,4
ENSG00000132313,,WBGene00010812,FBgn0038923,ENSMUSG00000052962,,3
ENSG00000132321,,,FBgn0037712,ENSMUSG00000026301,,2
ENSG00000132323,,WBGene00009354,,ENSMUSG00000026309,,2
ENSG00000132326,,,FBgn0003068,ENSMUSG00000055866,,2
ENSG00000132329,,,,ENSMUSG00000034353,,1
ENSG00000132330,,WBGene00017442,,ENSMUSG00000026307,,2
ENSG00000132334,,,,ENSMUSG00000041836,,1
ENSG00000132341,AT5G20020,WBGene00004302,FBgn0020255,ENSMUSG00000029430,YOR185C,5
ENSG00000132356,,WBGene00020142,FBgn0023169,ENSMUSG00000050697,YDR477W,4
ENSG00000132357,,,,ENSMUSG00000041849,,1
ENSG00000132359,,WBGene00018734,FBgn0264895,ENSMUSG00000038807,,3
ENSG00000132361,,WBGene00000550,FBgn0034087,ENSMUSG00000020741,YMR012W,4
ENSG00000132376,,WBGene00086546,FBgn0034179,ENSMUSG00000006127,,3
ENSG00000132382,,WBGene00019380,FBgn0001341,ENSMUSG00000040463,YEL055C,4
ENSG00000132383,AT2G06510,WBGene00017546,FBgn0010173,ENSMUSG00000000751,YAR007C,5
ENSG00000132386,,,,ENSMUSG00000000753,,1
ENSG00000132388,,WBGene00006704,FBgn0058045,ENSMUSG00000020794,YDR054C,4
ENSG00000132394,,WBGene00008133,FBgn0034627,ENSMUSG00000033216,,3
ENSG00000132405,,WBGene00044061,,ENSMUSG00000029192,,2
ENSG00000132406,,,,ENSMUSG00000067365,,1
ENSG00000132423,AT2G30920,WBGene00000763,FBgn0032922,ENSMUSG00000028247,YOL096C,5
ENSG00000132424,,WBGene00013177,FBgn0051211,ENSMUSG00000028248,,3
ENSG00000132429,,,FBgn0031150,ENSMUSG00000019848,,2
ENSG00000132432,,WBGene00001303,FBgn0033691,ENSMUSG00000078974,YDR086C,4
ENSG00000132434,,,FBgn0027498,ENSMUSG00000062190,,2
ENSG00000132436,,WBGene00017981,FBgn0031519,ENSMUSG00000035455,YER047C,4
ENSG00000132437,,WBGene00015467,FBgn0000422,ENSMUSG00000020182,,3
ENSG00000132463,,WBGene00022253,FBgn0259139,ENSMUSG00000044221,,3
ENSG00000132464,,,,ENSMUSG00000029286,,1
ENSG00000132465,,,,ENSMUSG00000067149,,1
ENSG00000132466,,,FBgn0043884,ENSMUSG00000055204,,2
ENSG00000132467,,WBGene00011311,FBgn0029755,ENSMUSG00000070697,YDL153C,4
ENSG00000132470,,WBGene00003930,FBgn0010395,ENSMUSG00000020758,,3
ENSG00000132471,,WBGene00008404,FBgn0036318,ENSMUSG00000034341,,3
ENSG00000132475,,WBGene00001943,FBgn0004828,ENSMUSG00000016559,,3
ENSG00000132478,,WBGene00016407,FBgn0004395,ENSMUSG00000020770,,3
ENSG00000132481,,,,ENSMUSG00000020773,,1
ENSG00000132485,,WBGene00021295,FBgn0034750,ENSMUSG00000028180,,3
ENSG00000132507,,WBGene00002065,FBgn0285952,ENSMUSG00000078812,YJR047C,4
ENSG00000132510,,WBGene00017046,FBgn0260749,ENSMUSG00000018476,YBR112C,4
ENSG00000132514,,,,ENSMUSG00000000318,,1
ENSG00000132517,,WBGene00044637,FBgn0039882,ENSMUSG00000022560,,3
ENSG00000132518,,WBGene00001529,FBgn0085386,ENSMUSG00000020890,,3
ENSG00000132522,,,FBgn0033122,ENSMUSG00000023170,,2
ENSG00000132530,,,,ENSMUSG00000040483,,1
ENSG00000132535,,WBGene00001006,FBgn0001624,ENSMUSG00000020886,,3
ENSG00000132541,AT3G20390,WBGene00016011,FBgn0086691,ENSMUSG00000022323,YIL051C,5
ENSG00000132549,,,FBgn0039727,ENSMUSG00000037646,,2
ENSG00000132554,,,,ENSMUSG00000037627,,1
ENSG00000132561,,WBGene00015865,,ENSMUSG00000022324,,2
ENSG00000132563,,WBGene00020562,FBgn0261564,ENSMUSG00000038555,,3
ENSG00000132570,,WBGene00020397,FBgn0024841,ENSMUSG00000021496,YHL018W,4
ENSG00000132581,,WBGene00020038,FBgn0037312,ENSMUSG00000002064,,3
ENSG00000132589,,,FBgn0264078,ENSMUSG00000061981,,2
ENSG00000132591,,WBGene00008456,FBgn0038106,ENSMUSG00000020832,,3
ENSG00000132600,,WBGene00012298,FBgn0034817,ENSMUSG00000060098,,3
ENSG00000132603,AT4G15770,WBGene00016607,FBgn0039233,ENSMUSG00000031917,YPL211W,5
ENSG00000132604,,,,ENSMUSG00000031921,,1
ENSG00000132612,AT1G08270,WBGene00021334,FBgn0283469,ENSMUSG00000031913,YPR173C,5
ENSG00000132613,,WBGene00019771,FBgn0053558,ENSMUSG00000033763,,3
ENSG00000132622,,,,ENSMUSG00000074793,,1
ENSG00000132623,,,,ENSMUSG00000074771,,1
ENSG00000132635,,WBGene00008418,,ENSMUSG00000037773,,2
ENSG00000132639,,WBGene00004364,FBgn0011288,ENSMUSG00000027273,YGR009C,4
ENSG00000132640,,,FBgn0262871,ENSMUSG00000062098,,2
ENSG00000132646,AT1G07370,WBGene00003955,FBgn0005655,ENSMUSG00000027342,YBR088C,5
ENSG00000132661,,WBGene00003836,FBgn0028411,ENSMUSG00000036992,,3
ENSG00000132664,AT5G23710,WBGene00021112,FBgn0038951,ENSMUSG00000027427,YNR003C,5
ENSG00000132669,,WBGene00008183,FBgn0085443,ENSMUSG00000001768,,3
ENSG00000132670,,,,ENSMUSG00000027303,,1
ENSG00000132671,,WBGene00006864,FBgn0036789,ENSMUSG00000037014,,3
ENSG00000132676,,WBGene00000933,FBgn0034727,ENSMUSG00000068921,YGL129C,4
ENSG00000132677,,WBGene00004358,FBgn0028699,ENSMUSG00000104445,,3
ENSG00000132680,,,,ENSMUSG00000028060,,1
ENSG00000132681,,WBGene00001137,FBgn0002921,ENSMUSG00000007107,YDR040C,4
ENSG00000132688,,,,ENSMUSG00000004891,,1
ENSG00000132692,,,,ENSMUSG00000004892,,1
ENSG00000132693,,,,ENSMUSG00000037942,,1
ENSG00000132694,,WBGene00006468,FBgn0023172,ENSMUSG00000041977,,3
ENSG00000132698,,WBGene00004274,FBgn0015790,ENSMUSG00000008601,,3
ENSG00000132702,,,,ENSMUSG00000004894,,1
ENSG00000132703,,,,ENSMUSG00000026542,,1
ENSG00000132716,,,FBgn0035268,ENSMUSG00000026554,,2
ENSG00000132718,,WBGene00004924,FBgn0028400,ENSMUSG00000068923,,3
ENSG00000132740,AT5G47010,WBGene00014965,,ENSMUSG00000024831,YKL017C,4
ENSG00000132744,,,,ENSMUSG00000024866,,1
ENSG00000132746,,WBGene00000110,FBgn0010548,ENSMUSG00000037263,YMR110C,4
ENSG00000132749,,WBGene00003037,FBgn0033846,ENSMUSG00000024905,,3
ENSG00000132763,,WBGene00022766,,ENSMUSG00000028690,,2
ENSG00000132768,AT3G59630,WBGene00007488,FBgn0038272,ENSMUSG00000028540,YKL191W,5
ENSG00000132773,,WBGene00013265,,ENSMUSG00000028688,,2
ENSG00000132780,,WBGene00007500,FBgn0037624,ENSMUSG00000028693,,3
ENSG00000132781,,,,ENSMUSG00000028687,,1
ENSG00000132792,,WBGene00019711,FBgn0037644,ENSMUSG00000027649,,3
ENSG00000132793,,WBGene00010425,FBgn0263593,ENSMUSG00000027412,YMR165C,4
ENSG00000132801,,,,ENSMUSG00000045822,,1
ENSG00000132819,AT2G21660,WBGene00006321,,ENSMUSG00000027510,,3
ENSG00000132821,,,,ENSMUSG00000037843,,1
ENSG00000132823,,WBGene00008530,FBgn0032231,ENSMUSG00000035399,,3
ENSG00000132824,,WBGene00011250,FBgn0028399,ENSMUSG00000017707,YDR105C,4
ENSG00000132825,,WBGene00016987,FBgn0036862,ENSMUSG00000049999,YOR178C,4
ENSG00000132837,,WBGene00021355,,ENSMUSG00000042102,,2
ENSG00000132840,,,FBgn0032726,ENSMUSG00000042118,,2
ENSG00000132842,,WBGene00000163,FBgn0003210,ENSMUSG00000021686,YGR261C,4
ENSG00000132846,,,,ENSMUSG00000041995,,1
ENSG00000132849,,WBGene00003404,FBgn0067864,ENSMUSG00000061859,,3
ENSG00000132854,,WBGene00006882,FBgn0027596,ENSMUSG00000035407,,3
ENSG00000132855,,,,ENSMUSG00000028553,,1
ENSG00000132872,,WBGene00004924,FBgn0028400,ENSMUSG00000024261,,3
ENSG00000132874,,,,ENSMUSG00000024552,,1
ENSG00000132879,,WBGene00007574,,ENSMUSG00000029001,,2
ENSG00000132881,,,,ENSMUSG00000073733,,1
ENSG00000132906,,WBGene00000417,FBgn0028381,ENSMUSG00000028914,,3
ENSG00000132911,,WBGene00016747,FBgn0037100,ENSMUSG00000037393,,3
ENSG00000132912,,WBGene00016124,FBgn0033206,ENSMUSG00000024603,,3
ENSG00000132915,,,,ENSMUSG00000024575,,1
ENSG00000132932,,WBGene00013034,FBgn0259221,ENSMUSG00000021983,YAL026C,4
ENSG00000132938,,,,ENSMUSG00000029651,,1
ENSG00000132950,,,FBgn0010328,ENSMUSG00000040123,,2
ENSG00000132952,,,,ENSMUSG00000041264,,1
ENSG00000132953,AT3G04490,WBGene00022087,,ENSMUSG00000021952,,3
ENSG00000132958,,,,ENSMUSG00000031481,,1
ENSG00000132963,,,FBgn0032884,ENSMUSG00000029649,YBR173C,3
ENSG00000132964,,WBGene00000409,FBgn0015618,ENSMUSG00000029635,YPL042C,4
ENSG00000132965,,,,ENSMUSG00000060063,,1
ENSG00000132970,,WBGene00006958,FBgn0041781,ENSMUSG00000029636,,3
ENSG00000132972,,,FBgn0263974,ENSMUSG00000000365,,2
ENSG00000132975,,,,ENSMUSG00000041468,,1
ENSG00000133019,,WBGene00001519,FBgn0000037,ENSMUSG00000046159,,3
ENSG00000133020,,WBGene00002348,FBgn0264695,ENSMUSG00000055775,YHR023W,4
ENSG00000133026,,WBGene00003776,FBgn0265434,ENSMUSG00000020900,YHR023W,4
ENSG00000133027,,,,ENSMUSG00000000301,YJR073C,2
ENSG00000133028,AT3G45740,WBGene00015297,FBgn0262467,ENSMUSG00000069844,YBR037C,5
ENSG00000133030,,WBGene00008666,FBgn0003016,ENSMUSG00000005417,,3
ENSG00000133048,,WBGene00000503,FBgn0035398,ENSMUSG00000064246,YDR371W,4
ENSG00000133055,,,,ENSMUSG00000042451,,1
ENSG00000133056,,WBGene00009552,FBgn0015278,ENSMUSG00000026447,,3
ENSG00000133059,,,,ENSMUSG00000042046,,1
ENSG00000133063,,WBGene00000503,FBgn0035398,ENSMUSG00000026450,YDR371W,4
ENSG00000133065,,WBGene00019504,FBgn0053181,ENSMUSG00000013275,,3
ENSG00000133067,,,FBgn0003255,ENSMUSG00000042793,,2
ENSG00000133069,,WBGene00015800,FBgn0037443,ENSMUSG00000042066,,3
ENSG00000133083,,WBGene00006993,FBgn0261387,ENSMUSG00000027797,,3
ENSG00000133101,AT1G47230,WBGene00000863,FBgn0000404,ENSMUSG00000027793,,4
ENSG00000133103,,WBGene00019481,FBgn0033401,ENSMUSG00000027742,YNL041C,4
ENSG00000133104,,WBGene00019006,FBgn0037265,ENSMUSG00000036580,,3
ENSG00000133105,,,FBgn0039354,ENSMUSG00000053368,,2
ENSG00000133106,,,,ENSMUSG00000022014,,1
ENSG00000133107,,WBGene00006615,FBgn0032593,ENSMUSG00000027748,,3
ENSG00000133110,,WBGene00009162,FBgn0285925,ENSMUSG00000027750,YLR001C,4
ENSG00000133111,,,,ENSMUSG00000036615,,1
ENSG00000133112,,WBGene00009122,FBgn0037874,ENSMUSG00000060126,YKL056C,4
ENSG00000133114,,WBGene00009145,FBgn0067629,ENSMUSG00000022008,,3
ENSG00000133115,,WBGene00006066,FBgn0030992,ENSMUSG00000027744,,3
ENSG00000133116,,WBGene00016848,FBgn0036659,ENSMUSG00000058488,,3
ENSG00000133119,,WBGene00004339,FBgn0028700,ENSMUSG00000033970,YBR087W,4
ENSG00000133121,,WBGene00001559,FBgn0285955,ENSMUSG00000016128,,3
ENSG00000133124,,,FBgn0024248,ENSMUSG00000054667,,2
ENSG00000133131,,,,ENSMUSG00000031434,,1
ENSG00000133134,,,,ENSMUSG00000050071,,1
ENSG00000133135,,,FBgn0004919,ENSMUSG00000031438,,2
ENSG00000133138,,WBGene00012868,FBgn0037074,ENSMUSG00000042473,,3
ENSG00000133169,,,,ENSMUSG00000042750,,1
ENSG00000133193,,,FBgn0051898,ENSMUSG00000041629,,2
ENSG00000133195,,WBGene00019077,FBgn0033665,ENSMUSG00000041654,,3
ENSG00000133216,,WBGene00006868,FBgn0025936,ENSMUSG00000028664,,3
ENSG00000133226,,WBGene00004706,FBgn0036340,ENSMUSG00000028809,,3
ENSG00000133243,,WBGene00006415,FBgn0031098,ENSMUSG00000003344,,3
ENSG00000133246,,,,ENSMUSG00000032739,,1
ENSG00000133247,,WBGene00016313,FBgn0025639,ENSMUSG00000059851,,3
ENSG00000133250,,,,ENSMUSG00000073423,,1
ENSG00000133256,,,,ENSMUSG00000029491,,1
ENSG00000133265,,,FBgn0036306,ENSMUSG00000063802,YBR101C,3
ENSG00000133275,,WBGene00013709,FBgn0250823,ENSMUSG00000003345,YHR135C,4
ENSG00000133302,,,,ENSMUSG00000021597,,1
ENSG00000133313,,WBGene00003982,FBgn0259979,ENSMUSG00000024644,YFR044C,4
ENSG00000133315,,WBGene00007106,,ENSMUSG00000036278,,2
ENSG00000133316,AT1G29320,WBGene00011538,FBgn0284246,ENSMUSG00000042729,YGL111W,5
ENSG00000133317,,WBGene00007768,FBgn0031214,ENSMUSG00000024972,,3
ENSG00000133318,,,FBgn0053113,ENSMUSG00000024758,,2
ENSG00000133392,,WBGene00003776,FBgn0265434,ENSMUSG00000018830,YHR023W,4
ENSG00000133393,,,FBgn0038359,ENSMUSG00000022677,,2
ENSG00000133398,,WBGene00007014,FBgn0036581,ENSMUSG00000021598,YPR168W,4
ENSG00000133401,,,,ENSMUSG00000022197,,1
ENSG00000133422,,WBGene00022531,,ENSMUSG00000034543,,2
ENSG00000133424,,WBGene00010716,,ENSMUSG00000004383,,2
ENSG00000133433,,,FBgn0031117,ENSMUSG00000033318,,2
ENSG00000133454,,,FBgn0026059,ENSMUSG00000072720,,2
ENSG00000133460,,WBGene00019207,FBgn0033047,,YGL104C,3
ENSG00000133466,,,,ENSMUSG00000022440,,1
ENSG00000133475,,WBGene00016906,FBgn0025837,ENSMUSG00000006345,YLR299W,4
ENSG00000133477,,,,ENSMUSG00000022408,,1
ENSG00000133488,,WBGene00010370,FBgn0035146,ENSMUSG00000019368,,3
ENSG00000133561,,,,ENSMUSG00000047867,,1
ENSG00000133574,,,,ENSMUSG00000054435,,1
ENSG00000133597,AT1G11390,WBGene00021315,,ENSMUSG00000046947,YPL109C,4
ENSG00000133606,,WBGene00002278,FBgn0029152,ENSMUSG00000029922,YPL054W,4
ENSG00000133612,,WBGene00000566,FBgn0028509,ENSMUSG00000023353,,3
ENSG00000133619,,,,ENSMUSG00000042810,,1
ENSG00000133627,,WBGene00000199,FBgn0262716,ENSMUSG00000056367,YJR065C,4
ENSG00000133636,,,,ENSMUSG00000019890,,1
ENSG00000133639,,,,ENSMUSG00000036478,,1
ENSG00000133640,,,,ENSMUSG00000019892,,1
ENSG00000133641,,,,ENSMUSG00000046567,,1
ENSG00000133657,,WBGene00022010,FBgn0052000,ENSMUSG00000022533,YOR291W,4
ENSG00000133661,,,,ENSMUSG00000021795,,1
ENSG00000133665,,,,ENSMUSG00000021791,,1
ENSG00000133678,,,,ENSMUSG00000072676,,1
ENSG00000133687,,,,ENSMUSG00000030306,,1
ENSG00000133703,,WBGene00002335,FBgn0003205,ENSMUSG00000030265,,3
ENSG00000133704,AT2G31660,,FBgn0026252,ENSMUSG00000040029,YJR132W,4
ENSG00000133706,,WBGene00003073,FBgn0284253,ENSMUSG00000024493,YPL160W,4
ENSG00000133710,,WBGene00009257,FBgn0052354,ENSMUSG00000055561,,3
ENSG00000133731,AT3G02870,WBGene00008765,FBgn0037063,ENSMUSG00000027531,YHR046C,5
ENSG00000133739,,,,ENSMUSG00000027550,,1
ENSG00000133740,,WBGene00001161,FBgn0024371,ENSMUSG00000027552,,3
ENSG00000133742,,WBGene00000279,FBgn0052698,ENSMUSG00000027556,,3
ENSG00000133773,,WBGene00017360,,ENSMUSG00000019897,,2
ENSG00000133789,,,,ENSMUSG00000031015,,1
ENSG00000133794,,WBGene00000095,FBgn0023094,ENSMUSG00000055116,,3
ENSG00000133800,,,,ENSMUSG00000030787,,1
ENSG00000133805,AT2G38280,WBGene00016415,FBgn0052626,ENSMUSG00000005686,YML035C,5
ENSG00000133812,,WBGene00003477,FBgn0025802,ENSMUSG00000038371,YJR110W,4
ENSG00000133816,,,FBgn0053208,ENSMUSG00000038244,,2
ENSG00000133818,,WBGene00004310,FBgn0003206,ENSMUSG00000055723,YOR101W,4
ENSG00000133835,,WBGene00000991,FBgn0030731,ENSMUSG00000024507,YKR009C,4
ENSG00000133858,,,,ENSMUSG00000034163,,1
ENSG00000133863,,,,ENSMUSG00000009628,,1
ENSG00000133872,,WBGene00011529,,ENSMUSG00000031532,,2
ENSG00000133874,,,,ENSMUSG00000039328,,1
ENSG00000133878,,,FBgn0030976,ENSMUSG00000039661,,2
ENSG00000133884,,WBGene00016200,FBgn0033015,ENSMUSG00000024826,,3
ENSG00000133895,,,FBgn0031885,ENSMUSG00000024947,,2
ENSG00000133935,,,FBgn0038828,ENSMUSG00000021252,YER044C,3
ENSG00000133937,,WBGene00022837,,ENSMUSG00000021095,,2
ENSG00000133943,,,,ENSMUSG00000021185,,1
ENSG00000133958,,WBGene00006811,FBgn0038693,ENSMUSG00000021198,,3
ENSG00000133961,,WBGene00003830,FBgn0002973,ENSMUSG00000021224,,3
ENSG00000133962,,,,ENSMUSG00000047014,,1
ENSG00000133980,,,,ENSMUSG00000071235,,1
ENSG00000133983,,,FBgn0011476,ENSMUSG00000091803,YJL003W,3
ENSG00000133985,,,,ENSMUSG00000042734,,1
ENSG00000133997,,WBGene00003164,FBgn0024330,ENSMUSG00000002679,YHR058C,4
ENSG00000134001,AT2G40290,WBGene00021351,FBgn0261609,ENSMUSG00000021116,YJR007W,5
ENSG00000134007,,WBGene00006804,FBgn0259110,ENSMUSG00000046282,,3
ENSG00000134013,,,FBgn0039848,ENSMUSG00000034205,,2
ENSG00000134014,AT5G50320,WBGene00014123,FBgn0031604,ENSMUSG00000022031,YPL086C,5
ENSG00000134020,,WBGene00013477,FBgn0011294,ENSMUSG00000022085,YLR178C,4
ENSG00000134028,,WBGene00006804,FBgn0259110,ENSMUSG00000022057,,3
ENSG00000134030,,WBGene00018405,FBgn0032156,ENSMUSG00000052928,,3
ENSG00000134042,,,,ENSMUSG00000064036,,1
ENSG00000134046,,WBGene00023409,FBgn0027950,ENSMUSG00000024513,,3
ENSG00000134049,,WBGene00012371,FBgn0052069,ENSMUSG00000090000,YER074W-A,4
ENSG00000134056,,,,ENSMUSG00000061474,,1
ENSG00000134057,,WBGene00000865,FBgn0000405,ENSMUSG00000041431,YGR108W,4
ENSG00000134058,,WBGene00000408,FBgn0263237,ENSMUSG00000069089,YDL108W,4
ENSG00000134058.12;ENSG00000277273,AT1G18040,,,,,1
ENSG00000134061,,WBGene00006593,FBgn0034476,ENSMUSG00000021624,,3
ENSG00000134070,,WBGene00004029,FBgn0010441,ENSMUSG00000060477,YGL021W,4
ENSG00000134072,,WBGene00000553,FBgn0016126,ENSMUSG00000030272,YOL016C,4
ENSG00000134077,,WBGene00010846,,ENSMUSG00000030264,,2
ENSG00000134086,,WBGene00006922,FBgn0041174,ENSMUSG00000033933,,3
ENSG00000134107,,,FBgn0002609,ENSMUSG00000030103,,2
ENSG00000134108,,WBGene00000192,FBgn0037551,ENSMUSG00000030105,,3
ENSG00000134109,,WBGene00008148,,ENSMUSG00000030104,YHR204W,3
ENSG00000134115,,,FBgn0037240,ENSMUSG00000030092,,2
ENSG00000134121,,WBGene00002243,FBgn0264975,ENSMUSG00000030077,,3
ENSG00000134138,,WBGene00006796,FBgn0001235,ENSMUSG00000027210,,3
ENSG00000134146,AT3G45040,WBGene00017087,FBgn0030336,ENSMUSG00000057147,YLR143W,5
ENSG00000134152,,,,ENSMUSG00000027132,,1
ENSG00000134153,,WBGene00016439,FBgn0034066,ENSMUSG00000055943,,3
ENSG00000134160,,WBGene00001651,FBgn0265194,ENSMUSG00000030523,,3
ENSG00000134183,,WBGene00001678,FBgn0001104,ENSMUSG00000009108,YHR005C,4
ENSG00000134184,,WBGene00001789,,ENSMUSG00000040562,,2
ENSG00000134186,AT5G37370,WBGene00022434,FBgn0030468,ENSMUSG00000027881,,4
ENSG00000134193,,WBGene00018246,,ENSMUSG00000027876,,2
ENSG00000134198,,WBGene00006635,,ENSMUSG00000027858,,2
ENSG00000134201,,WBGene00001789,,ENSMUSG00000058135,,2
ENSG00000134202,,WBGene00001789,,ENSMUSG00000004032,,2
ENSG00000134207,,,FBgn0261089,ENSMUSG00000027849,,2
ENSG00000134215,,WBGene00006887,FBgn0040068,ENSMUSG00000033721,,3
ENSG00000134222,,,,ENSMUSG00000068744,,1
ENSG00000134240,,WBGene00017769,FBgn0010611,ENSMUSG00000027875,YML126C,4
ENSG00000134242,,WBGene00021507,,ENSMUSG00000027843,,2
ENSG00000134243,,,,ENSMUSG00000068747,YIL173W,2
ENSG00000134245,,WBGene00000857,FBgn0004360,ENSMUSG00000027840,,3
ENSG00000134247,,,,ENSMUSG00000027864,,1
ENSG00000134248,,WBGene00020101,FBgn0026090,ENSMUSG00000087260,,3
ENSG00000134250,,WBGene00001609,FBgn0004647,ENSMUSG00000027878,,3
ENSG00000134253,,WBGene00003598,FBgn0031999,ENSMUSG00000033233,,3
ENSG00000134255,AT3G25585,WBGene00013024,FBgn0033844,ENSMUSG00000040774,YNL130C,5
ENSG00000134256,,,,ENSMUSG00000086564,,1
ENSG00000134258,,,,ENSMUSG00000051076,,1
ENSG00000134259,,,,ENSMUSG00000027859,,1
ENSG00000134262,,,,ENSMUSG00000032952,,1
ENSG00000134265,,WBGene00013345,FBgn0028552,ENSMUSG00000024581,,3
ENSG00000134278,,,FBgn0003475,ENSMUSG00000024533,,2
ENSG00000134283,,,,ENSMUSG00000036167,,1
ENSG00000134285,,WBGene00001429,,ENSMUSG00000003355,YDR519W,3
ENSG00000134287,,WBGene00000182,FBgn0010348,ENSMUSG00000051853,YDL192W,4
ENSG00000134291,,,,ENSMUSG00000052369,,1
ENSG00000134294,,WBGene00019837,FBgn0285912,ENSMUSG00000022462,YBL089W,4
ENSG00000134297,,,,ENSMUSG00000005225,,1
ENSG00000134308,,WBGene00001502,FBgn0004907,ENSMUSG00000076432,,3
ENSG00000134313,,WBGene00006490,FBgn0261554,ENSMUSG00000036333,,3
ENSG00000134317,,WBGene00001707,FBgn0259211,ENSMUSG00000020656,,3
ENSG00000134318,,WBGene00002694,FBgn0026181,ENSMUSG00000020580,,3
ENSG00000134321,,,,ENSMUSG00000020641,,1
ENSG00000134323,,,,ENSMUSG00000037169,,1
ENSG00000134324,,WBGene00010425,FBgn0263593,ENSMUSG00000020593,YMR165C,4
ENSG00000134326,,,,ENSMUSG00000020638,,1
ENSG00000134330,,,,ENSMUSG00000062054,YOR126C,2
ENSG00000134333,,WBGene00002262,FBgn0001258,ENSMUSG00000063229,YDL078C,4
ENSG00000134339,,,,ENSMUSG00000074115,,1
ENSG00000134343,,,FBgn0036235,ENSMUSG00000074968,,2
ENSG00000134352,,,,ENSMUSG00000021756,,1
ENSG00000134363,,,FBgn0259878,ENSMUSG00000021765,,2
ENSG00000134365,,,,ENSMUSG00000033898,,1
ENSG00000134369,,WBGene00006788,FBgn0263873,ENSMUSG00000009418,,3
ENSG00000134371,,WBGene00018064,FBgn0037657,ENSMUSG00000026361,YLR418C,4
ENSG00000134375,AT1G20350,WBGene00017119,FBgn0038018,ENSMUSG00000062580,YJL143W,5
